count,key,hand,arm_position,strike_wrist_angle,time
1,G7,1,"[0.11760514974594116, -0.26857414841651917, 0.03610511124134064, 0.014132915064692497, 0.05696077644824982, -0.8540686368942261]",[-1.666256046295166],0.18
2,F7,1,"[0.13642719388008118, -0.24688521027565002, 0.0266273133456707, 0.14154958724975586, 0.0848560556769371, -0.688883364200592]",[-1.6818859100341797],0.18
3,E7,1,"[0.1477934569120407, -0.23391328752040863, 0.025310702621936798, 0.11029785126447678, 0.08374163508415222, -0.5909304618835449]",[-1.6680800437927246],0.13
4,D7,1,"[0.16211119294166565, -0.2179737538099289, 0.0291183702647686, 0.10106263309717178, 0.060005128383636475, -0.4778405427932739]",[-1.6251861763000488],0.14
5,C7,1,"[0.17154864966869354, -0.20286069810390472, 0.025931086391210556, 0.10251738131046295, 0.07204089313745499, -0.40634065866470337]",[-1.6233039855957031],0.15
6,B6,1,"[0.18314269185066223, -0.18140079081058502, 0.026446916162967682, 0.1864767074584961, 0.059132859110832214, -0.3095241189002991]",[-1.6815958976745605],0.21
7,A6,1,"[0.1986459642648697, -0.1583874225616455, 0.0304904542863369, 0.16282343864440918, 0.13971981406211853, -0.22869740426540375]",[-1.8940838432312012],0.22
8,G6,2,"[0.18844172358512878, 0.1931779980659485, 0.04608718305826187, -0.3623220920562744, 0.02610466629266739, 0.4256151616573334]",[1.7398041248321533],0.31
9,F6,2,"[0.17207451164722443, 0.2159869521856308, 0.03907278552651405, -0.4160487949848175, 0.05774378776550293, 0.5446463227272034]",[1.6202100467681885],0.29
10,E6,2,"[0.16389593482017517, 0.23096084594726562, 0.0496821328997612, -0.451372891664505, 0.0018876653630286455, 0.622443437576294]",[1.6661721229553223],0.26
11,D6,2,"[0.14755800366401672, 0.2478802353143692, 0.04658271372318268, -0.4186086356639862, 0.027135005220770836, 0.7179851531982422]",[1.6679961204528809],0.26
12,C6,2,"[0.13551586866378784, 0.25935864448547363, 0.04902457445859909, -0.6039062142372131, 0.0354938805103302, 0.7980009913444519]",[1.6657820749282837],0.31
13,B5,2,"[0.1190938949584961, 0.2731209099292755, 0.04354947805404663, -0.49759480357170105, 0.1293759047985077, 0.927265465259552]",[1.641628122329712],0.25
14,A5,2,"[0.09423505514860153, 0.2697625992298126, 0.04748335853219032, -0.6014350056648254, 0.14728429913520813, 1.0681378841400146]",[1.8041320610046387],0.26
15,G5,2,"[0.08309361338615417, 0.2942364513874054, 0.04842747002840042, -0.5161047577857971, 0.1450575888156891, 1.1226049661636353]",[1.5572581052780151],0.3
